alpaca_symbol,security_name,exchange,ETF,Test Issue,qlib_symbol,universe_snapshot_source
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,N,N,ACET,Nasdaq Trader Symbol Directory
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,N,N,ACFN,Nasdaq Trader Symbol Directory
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,N,N,ACGL,Nasdaq Trader Symbol Directory
ACH,"Accendra Health, Inc. Common Stock",NYSE,N,N,ACH,Nasdaq Trader Symbol Directory
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,N,N,ACHC,Nasdaq Trader Symbol Directory
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,N,N,ACHR,Nasdaq Trader Symbol Directory
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,N,N,ACHV,Nasdaq Trader Symbol Directory
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,N,N,ACI,Nasdaq Trader Symbol Directory
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,N,N,ACIC,Nasdaq Trader Symbol Directory
ACIU,AC Immune SA - Common Stock,NASDAQ,N,N,ACIU,Nasdaq Trader Symbol Directory
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,N,N,ACIW,Nasdaq Trader Symbol Directory
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,N,N,ACLS,Nasdaq Trader Symbol Directory
ACM,AECOM Common Stock,NYSE,N,N,ACM,Nasdaq Trader Symbol Directory
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,N,N,ACMR,Nasdaq Trader Symbol Directory
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,N,N,ACN,Nasdaq Trader Symbol Directory
ACNB,ACNB Corporation - Common Stock,NASDAQ,N,N,ACNB,Nasdaq Trader Symbol Directory
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,N,N,ACNT,Nasdaq Trader Symbol Directory
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,N,N,ACOG,Nasdaq Trader Symbol Directory
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,N,N,ACON,Nasdaq Trader Symbol Directory
ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE,N,N,ACP,Nasdaq Trader Symbol Directory
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,N,N,ACR,Nasdaq Trader Symbol Directory
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,N,N,ACRE,Nasdaq Trader Symbol Directory
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,N,N,ACRS,Nasdaq Trader Symbol Directory
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,N,N,ACRV,Nasdaq Trader Symbol Directory
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,N,N,ACT,Nasdaq Trader Symbol Directory
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,N,N,ACTG,Nasdaq Trader Symbol Directory
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,N,N,ACTU,Nasdaq Trader Symbol Directory
ACU,Acme United Corporation. Common Stock,NYSE American,N,N,ACU,Nasdaq Trader Symbol Directory
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,N,N,ACV,Nasdaq Trader Symbol Directory
ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,N,N,ACVA,Nasdaq Trader Symbol Directory
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,ACXP,Nasdaq Trader Symbol Directory
AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE,N,N,AD,Nasdaq Trader Symbol Directory
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,N,N,ADAC,Nasdaq Trader Symbol Directory
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,N,N,ADAG,Nasdaq Trader Symbol Directory
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,N,N,ADAM,Nasdaq Trader Symbol Directory
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,N,N,ADAMG,Nasdaq Trader Symbol Directory
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,N,N,ADAMH,Nasdaq Trader Symbol Directory
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,N,N,ADAMI,Nasdaq Trader Symbol Directory
ADAMK,"Adamas Trust, Inc. - 9.600% Senior Notes Due 2031",NASDAQ,N,N,ADAMK,Nasdaq Trader Symbol Directory
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ,N,N,ADAMO,Nasdaq Trader Symbol Directory
ADBE,Adobe Inc. - Common Stock,NASDAQ,N,N,ADBE,Nasdaq Trader Symbol Directory
ADBT,"Advasa Holdings, Inc. - Common stock",NASDAQ,N,N,ADBT,Nasdaq Trader Symbol Directory
ADC,Agree Realty Corporation Common Stock,NYSE,N,N,ADC,Nasdaq Trader Symbol Directory
ADCT,ADC Therapeutics SA Common Shares,NYSE,N,N,ADCT,Nasdaq Trader Symbol Directory
ADEA,Adeia Inc.  - Common Stock,NASDAQ,N,N,ADEA,Nasdaq Trader Symbol Directory
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,N,N,ADGM,Nasdaq Trader Symbol Directory
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,N,N,ADI,Nasdaq Trader Symbol Directory
ADIG,ADI Global Distribution Inc. Common Stock,NYSE,N,N,ADIG,Nasdaq Trader Symbol Directory
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,N,N,ADIL,Nasdaq Trader Symbol Directory
ADM,Archer-Daniels-Midland Company Common Stock,NYSE,N,N,ADM,Nasdaq Trader Symbol Directory
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,N,N,ADMA,Nasdaq Trader Symbol Directory
ADNT,Adient plc Ordinary Shares ,NYSE,N,N,ADNT,Nasdaq Trader Symbol Directory
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,N,N,ADP,Nasdaq Trader Symbol Directory
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,N,N,ADPT,Nasdaq Trader Symbol Directory
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,N,N,ADSE,Nasdaq Trader Symbol Directory
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,N,N,ADSK,Nasdaq Trader Symbol Directory
ADT,ADT Inc. Common Stock,NYSE,N,N,ADT,Nasdaq Trader Symbol Directory
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,N,N,ADTN,Nasdaq Trader Symbol Directory
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,N,N,ADUR,Nasdaq Trader Symbol Directory
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,N,N,ADUS,Nasdaq Trader Symbol Directory
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,N,N,ADV,Nasdaq Trader Symbol Directory
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,N,N,ADVB,Nasdaq Trader Symbol Directory
ADX,Adams Diversified Equity Fund Inc.,NYSE,N,N,ADX,Nasdaq Trader Symbol Directory
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,N,N,AEBI,Nasdaq Trader Symbol Directory
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,N,N,AEC,Nasdaq Trader Symbol Directory
AEE,Ameren Corporation Common Stock,NYSE,N,N,AEE,Nasdaq Trader Symbol Directory
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",NYSE American,N,N,AEF,Nasdaq Trader Symbol Directory
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,N,N,AEFC,Nasdaq Trader Symbol Directory
AEG,Aegon Ltd. New York Registry Shares,NYSE,N,N,AEG,Nasdaq Trader Symbol Directory
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,N,N,AEHL,Nasdaq Trader Symbol Directory
AEHR,Aehr Test Systems - Common Stock,NASDAQ,N,N,AEHR,Nasdaq Trader Symbol Directory
AEI,Alset Inc. - Common Stock,NASDAQ,N,N,AEI,Nasdaq Trader Symbol Directory
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,N,N,AEIS,Nasdaq Trader Symbol Directory
AEM,Agnico Eagle Mines Limited Common Stock,NYSE,N,N,AEM,Nasdaq Trader Symbol Directory
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,N,N,AEMD,Nasdaq Trader Symbol Directory
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,N,N,AENT,Nasdaq Trader Symbol Directory
AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE,N,N,AEO,Nasdaq Trader Symbol Directory
AEON,"AEON Biopharma, Inc. Class A Common Stock",NYSE American,N,N,AEON,Nasdaq Trader Symbol Directory
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,N,N,AEP,Nasdaq Trader Symbol Directory
AER,AerCap Holdings N.V. Ordinary Shares,NYSE,N,N,AER,Nasdaq Trader Symbol Directory
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,N,N,AERT,Nasdaq Trader Symbol Directory
AES,The AES Corporation Common Stock,NYSE,N,N,AES,Nasdaq Trader Symbol Directory
AESI,Atlas Energy Solutions Inc. Common Stock,NYSE,N,N,AESI,Nasdaq Trader Symbol Directory
AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,NASDAQ,N,N,AESP,Nasdaq Trader Symbol Directory
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,N,N,AEVA,Nasdaq Trader Symbol Directory
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,N,N,AEYE,Nasdaq Trader Symbol Directory
AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,N,N,AFB,Nasdaq Trader Symbol Directory
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,N,N,AFCG,Nasdaq Trader Symbol Directory
AFG,"American Financial Group, Inc. Common Stock",NYSE,N,N,AFG,Nasdaq Trader Symbol Directory
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",NYSE,N,N,AFGB,Nasdaq Trader Symbol Directory
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",NYSE,N,N,AFGC,Nasdaq Trader Symbol Directory
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",NYSE,N,N,AFGD,Nasdaq Trader Symbol Directory
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",NYSE,N,N,AFGE,Nasdaq Trader Symbol Directory
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,N,N,AFJK,Nasdaq Trader Symbol Directory
AFL,AFLAC Incorporated Common Stock,NYSE,N,N,AFL,Nasdaq Trader Symbol Directory
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,N,N,AFRI,Nasdaq Trader Symbol Directory
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,N,N,AFRM,Nasdaq Trader Symbol Directory
AFYA,Afya Limited - Class A Common Shares,NASDAQ,N,N,AFYA,Nasdaq Trader Symbol Directory
AG,First Majestic Silver Corp. Ordinary Shares (Canada),NYSE,N,N,AG,Nasdaq Trader Symbol Directory
AGBK,AGI Inc Class A Common Shares,NYSE,N,N,AGBK,Nasdaq Trader Symbol Directory
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,N,N,AGCC,Nasdaq Trader Symbol Directory
AGCO,AGCO Corporation Common Stock,NYSE,N,N,AGCO,Nasdaq Trader Symbol Directory
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,NYSE,N,N,AGD,Nasdaq Trader Symbol Directory
AGEN,Agenus Inc. - Common Stock,NASDAQ,N,N,AGEN,Nasdaq Trader Symbol Directory
AGI,Alamos Gold Inc. Class A Common Shares,NYSE,N,N,AGI,Nasdaq Trader Symbol Directory
AGIG,Abundia Global Impact Group Inc. Common stock,NYSE American,N,N,AGIG,Nasdaq Trader Symbol Directory
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,AGIO,Nasdaq Trader Symbol Directory
AGL,"agilon health, inc. Common Stock",NYSE,N,N,AGL,Nasdaq Trader Symbol Directory
AGM,Federal Agricultural Mortgage Corporation Common Stock,NYSE,N,N,AGM,Nasdaq Trader Symbol Directory
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,NYSE,N,N,AGM_A,Nasdaq Trader Symbol Directory
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,N,N,AGMB,Nasdaq Trader Symbol Directory
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,N,N,AGMH,Nasdaq Trader Symbol Directory
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,N,N,AGNC,Nasdaq Trader Symbol Directory
AGNT,"AGNT, Inc. - Common Stock",NASDAQ,N,N,AGNT,Nasdaq Trader Symbol Directory
AGO,Assured Guaranty Ltd. Common Stock,NYSE,N,N,AGO,Nasdaq Trader Symbol Directory
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,N,N,AGPU,Nasdaq Trader Symbol Directory
AGRO,Adecoagro S.A. Common Shares,NYSE,N,N,AGRO,Nasdaq Trader Symbol Directory
AGRZ,Agroz Inc. - Class A Ordinary Shares,NASDAQ,N,N,AGRZ,Nasdaq Trader Symbol Directory
AGX,"Argan, Inc. Common Stock",NYSE,N,N,AGX,Nasdaq Trader Symbol Directory
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,N,N,AGYS,Nasdaq Trader Symbol Directory
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,N,N,AHCO,Nasdaq Trader Symbol Directory
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,N,N,AHMA,Nasdaq Trader Symbol Directory
AHR,"American Healthcare REIT, Inc. Common Stock",NYSE,N,N,AHR,Nasdaq Trader Symbol Directory
AHRT,"AH Realty Trust, Inc. Common Stock",NYSE,N,N,AHRT,Nasdaq Trader Symbol Directory
AHT,Ashford Hospitality Trust Inc Common Stock,NYSE,N,N,AHT,Nasdaq Trader Symbol Directory
AI,"C3.ai, Inc. Class A Common Stock",NYSE,N,N,AI,Nasdaq Trader Symbol Directory
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,N,N,AIAI,Nasdaq Trader Symbol Directory
AIB,AIB Data Centers Inc. Common Stock,NYSE American,N,N,AIB,Nasdaq Trader Symbol Directory
AIBZ,Bitzero Holdings Inc. - Common Shares,NASDAQ,N,N,AIBZ,Nasdaq Trader Symbol Directory
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,N,N,AIDX,Nasdaq Trader Symbol Directory
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,N,N,AIFA,Nasdaq Trader Symbol Directory
AIFC,AI Financial Corporation - Common Stock,NASDAQ,N,N,AIFC,Nasdaq Trader Symbol Directory
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,N,N,AIFF,Nasdaq Trader Symbol Directory
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,N,N,AIFU,Nasdaq Trader Symbol Directory
AIG,"American International Group, Inc. New Common Stock",NYSE,N,N,AIG,Nasdaq Trader Symbol Directory
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,N,N,AIHS,Nasdaq Trader Symbol Directory
AII,"American Integrity Insurance Group, Inc. Common Stock",NYSE,N,N,AII,Nasdaq Trader Symbol Directory
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,N,N,AIIO,Nasdaq Trader Symbol Directory
AIIR,Air Global PLC - Ordinary shares,NASDAQ,N,N,AIIR,Nasdaq Trader Symbol Directory
AIM,AIM ImmunoTech Inc. Common Stock,NYSE American,N,N,AIM,Nasdaq Trader Symbol Directory
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,N,N,AIMD,Nasdaq Trader Symbol Directory
AIN,Albany International Corporation Common Stock,NYSE,N,N,AIN,Nasdaq Trader Symbol Directory
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,NYSE,N,N,AIO,Nasdaq Trader Symbol Directory
AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ,N,N,AIOS,Nasdaq Trader Symbol Directory
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,N,N,AIOT,Nasdaq Trader Symbol Directory
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,N,N,AIP,Nasdaq Trader Symbol Directory
AIR,AAR Corp. Common Stock,NYSE,N,N,AIR,Nasdaq Trader Symbol Directory
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,N,N,AIRE,Nasdaq Trader Symbol Directory
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,N,N,AIRG,Nasdaq Trader Symbol Directory
AIRI,Air Industries Group Common Stock,NYSE American,N,N,AIRI,Nasdaq Trader Symbol Directory
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,N,N,AIRJ,Nasdaq Trader Symbol Directory
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,N,N,AIRO,Nasdaq Trader Symbol Directory
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,N,N,AIRS,Nasdaq Trader Symbol Directory
AIRT,"Air T, Inc. - Common Stock",NASDAQ,N,N,AIRT,Nasdaq Trader Symbol Directory
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,N,N,AISP,Nasdaq Trader Symbol Directory
AIT,"Applied Industrial Technologies, Inc. Common Stock",NYSE,N,N,AIT,Nasdaq Trader Symbol Directory
AIV,Apartment Investment and Management Company Common Stock,NYSE,N,N,AIV,Nasdaq Trader Symbol Directory
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,N,N,AIXC,Nasdaq Trader Symbol Directory
AIZ,"Assurant, Inc. Common Stock",NYSE,N,N,AIZ,Nasdaq Trader Symbol Directory
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",NYSE,N,N,AIZN,Nasdaq Trader Symbol Directory
AJG,Arthur J. Gallagher & Co. Common Stock,NYSE,N,N,AJG,Nasdaq Trader Symbol Directory
AKA,a.k.a. Brands Holding Corp. Common Stock,NYSE,N,N,AKA,Nasdaq Trader Symbol Directory
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,N,N,AKAM,Nasdaq Trader Symbol Directory
AKAN,Akanda Corp. - Common Shares,NASDAQ,N,N,AKAN,Nasdaq Trader Symbol Directory
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,N,N,AKBA,Nasdaq Trader Symbol Directory
AKO.A,Embotelladora Andina S.A. Common Stock,NYSE,N,N,AKO_A,Nasdaq Trader Symbol Directory
AKO.B,Embotelladora Andina S.A. Common Stock,NYSE,N,N,AKO_B,Nasdaq Trader Symbol Directory
AKR,Acadia Realty Trust Common Stock,NYSE,N,N,AKR,Nasdaq Trader Symbol Directory
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,N,N,AKTS,Nasdaq Trader Symbol Directory
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,N,N,ALAB,Nasdaq Trader Symbol Directory
ALB,Albemarle Corporation Common Stock,NYSE,N,N,ALB,Nasdaq Trader Symbol Directory
ALC,Alcon Inc. Ordinary Shares,NYSE,N,N,ALC,Nasdaq Trader Symbol Directory
ALCO,"Alico, Inc. - Common Stock",NASDAQ,N,N,ALCO,Nasdaq Trader Symbol Directory
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAQ,N,N,ALDF,Nasdaq Trader Symbol Directory
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,N,N,ALDX,Nasdaq Trader Symbol Directory
ALEC,"Alector, Inc. - Common Stock",NASDAQ,N,N,ALEC,Nasdaq Trader Symbol Directory
ALG,"Alamo Group, Inc. Common Stock",NYSE,N,N,ALG,Nasdaq Trader Symbol Directory
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ,N,N,ALGM,Nasdaq Trader Symbol Directory
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ,N,N,ALGN,Nasdaq Trader Symbol Directory
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,N,N,ALGS,Nasdaq Trader Symbol Directory
ALGT,Allegiant Travel Company - Common Stock,NASDAQ,N,N,ALGT,Nasdaq Trader Symbol Directory
ALH,Alliance Laundry Holdings Inc. Common Stock,NYSE,N,N,ALH,Nasdaq Trader Symbol Directory
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,N,N,ALHC,Nasdaq Trader Symbol Directory
ALIT,"Alight, Inc. Class A Common Stock",NYSE,N,N,ALIT,Nasdaq Trader Symbol Directory
ALK,"Alaska Air Group, Inc. Common Stock",NYSE,N,N,ALK,Nasdaq Trader Symbol Directory
ALKS,Alkermes plc - Ordinary Shares,NASDAQ,N,N,ALKS,Nasdaq Trader Symbol Directory
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ,N,N,ALKT,Nasdaq Trader Symbol Directory
ALL,Allstate Corporation (The) Common Stock,NYSE,N,N,ALL,Nasdaq Trader Symbol Directory
ALLE,Allegion plc Ordinary Shares,NYSE,N,N,ALLE,Nasdaq Trader Symbol Directory
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,N,N,ALLO,Nasdaq Trader Symbol Directory
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,N,N,ALLR,Nasdaq Trader Symbol Directory
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ,N,N,ALLT,Nasdaq Trader Symbol Directory
ALLY,Ally Financial Inc. Common Stock,NYSE,N,N,ALLY,Nasdaq Trader Symbol Directory
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,N,N,ALM,Nasdaq Trader Symbol Directory
ALMR,"Alamar Biosciences, Inc. - Class A common stock",NASDAQ,N,N,ALMR,Nasdaq Trader Symbol Directory
ALMS,Alumis Inc. - Common Stock,NASDAQ,N,N,ALMS,Nasdaq Trader Symbol Directory
ALMU,"Aeluma, Inc. - Common Stock",NASDAQ,N,N,ALMU,Nasdaq Trader Symbol Directory
ALNT,Allient Inc. - Common Stock,NASDAQ,N,N,ALNT,Nasdaq Trader Symbol Directory
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,ALNY,Nasdaq Trader Symbol Directory
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ,N,N,ALOT,Nasdaq Trader Symbol Directory
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",NASDAQ,N,N,ALOV,Nasdaq Trader Symbol Directory
ALOY,REalloys Inc. - Common Stock,NASDAQ,N,N,ALOY,Nasdaq Trader Symbol Directory
