alpaca_symbol,qlib_symbol,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,universe_snapshot_source
AEP,AEP,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AES,AES,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AFL,AFL,AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AIG,AIG,AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,5272,1919,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AIZ,AIZ,AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,1267238,1892,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AJG,AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354190,1927,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AKAM,AKAM,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ALB,ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ALGN,ALGN,ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ALL,ALL,ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051,1931,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ALLE,ALLE,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AMAT,AMAT,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,6951,1967,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AMCR,AMCR,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2019 (1860),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AMD,AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AME,AME,AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AMGN,AMGN,AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AMP,AMP,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AMT,AMT,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AMZN,AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ANET,ANET,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,1596532,2004,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AON,AON,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,315293,1982 (1919),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AOS,AOS,AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
APA,APA,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1841666,1954,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
APD,APD,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
APH,APH,APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
APO,APO,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
APP,APP,APP,AppLovin,Communication Services,Advertising,"Palo Alto, California",2025-09-22,1751008,2012,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
APTV,APTV,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Schaffhausen, Switzerland",2012-12-24,1521332,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ARE,ARE,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ARES,ARES,ARES,Ares Management,Financials,Asset Management & Custody Banks,"Los Angeles, California",2025-12-11,1176948,1977,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ATO,ATO,ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AVGO,AVGO,AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,1730168,1961,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AVY,AVY,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,8818,1935,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AWK,AWK,AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636,1886,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AXON,AXON,AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,1069183,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AXP,AXP,AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,4962,1850,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AZO,AZO,AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1997-01-02,866787,1979,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BA,BA,BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",1957-03-04,12927,1916,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BAC,BAC,BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BALL,BALL,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984-10-31,9389,1880,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BAX,BAX,BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,10456,1931,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BBY,BBY,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,764478,1966,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BDX,BDX,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BEN,BEN,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",1998-04-30,38777,1947,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BF.B,BF_B,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,14693,1870,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BG,BG,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,1996862,1818,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BIIB,BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875045,1978,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BKNG,BKNG,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2009-11-06,1075531,1996,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BKR,BKR,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,1701605,2017,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BLDR,BLDR,BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",2023-12-18,1316835,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BLK,BLK,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011-04-04,2012383,1988,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BMY,BMY,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,14272,1989 (1887),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BNY,BNY,BNY,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1390777,1784,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BR,BR,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1383312,1962,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BRK.B,BRK_B,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BRO,BRO,BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,79282,1939,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BSX,BSX,BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,885725,1979,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BX,BX,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
BXP,BXP,BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1037540,1970,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
C,C,C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,831001,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CAH,CAH,CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,721371,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CARR,CARR,CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,1783180,"2020 (1915, United Technologies spinoff)",https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CASY,CASY,CASY,Casey's,Consumer Staples,Food Retail,"Ankeny, Iowa",2026-04-09,726958,1967,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CAT,CAT,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,18230,1925,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CB,CB,CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CBOE,CBOE,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310,1973,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CBRE,CBRE,CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1138118,1906,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CCI,CCI,CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-14,1051470,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CCL,CCL,CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,815097,1972,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CDNS,CDNS,CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,813672,1988,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CDW,CDW,CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,1402057,1984,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CEG,CEG,CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2022-02-02,1868275,1999,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CF,CF,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,1946,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CFG,CFG,CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,1828,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CHD,CHD,CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CHRW,CHRW,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CHTR,CHTR,CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CI,CI,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CIEN,CIEN,CIEN,Ciena,Information Technology,Communications Equipment,"Hanover, Maryland",2026-02-09,936395,1992,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CINF,CINF,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CL,CL,CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CLX,CLX,CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CMCSA,CMCSA,CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CME,CME,CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CMG,CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CMI,CMI,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,26172,1919,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CMS,CMS,CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CNC,CNC,CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CNP,CNP,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
COF,COF,COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,927628,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
COHR,COHR,COHR,Coherent Corp.,Information Technology,Electronic Components,"Saxonburg, Pennsylvania",2026-03-23,820318,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
COIN,COIN,COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York",2025-05-19,1679788,2012,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
COO,COO,COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
COP,COP,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
COR,COR,COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859,1985,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
COST,COST,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,909832,1976,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CPAY,CPAY,CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,1175454,2000,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CPRT,CPRT,CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CPT,CPT,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,906345,1981,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CRH,CRH,CRH,CRH plc,Materials,Construction Materials,"Dublin, Ireland",2025-12-22,849395,1970,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CRL,CRL,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1100682,1947,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CRM,CRM,CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,1108524,1999,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CRWD,CRWD,CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2024-06-24,1535527,2011,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CSCO,CSCO,CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CSGP,CSGP,CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,1057352,1987,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CSX,CSX,CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,277948,1980,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CTAS,CTAS,CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CTSH,CTSH,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CTVA,CTVA,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,1755672,2019,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CVNA,CVNA,CVNA,Carvana,Consumer Discretionary,Automotive Retail,"Tempe, Arizona",2025-12-22,1690820,2012,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CVS,CVS,CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,64803,1996,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
CVX,CVX,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"Houston, Texas",1957-03-04,93410,1879,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
D,D,D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",2016-11-30,715957,1983,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DAL,DAL,DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013-09-11,27904,1929,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DASH,DASH,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",2025-03-24,1792789,2012,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DD,DD,DD,DuPont,Industrials,Industrial Conglomerates,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DDOG,DDOG,DDOG,Datadog,Information Technology,Application Software,"New York City, New York",2025-07-09,1561550,2010,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DE,DE,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DECK,DECK,DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",2024-03-18,910521,1973,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DELL,DELL,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DG,DG,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,29534,1939,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DGX,DGX,DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,1022079,1967,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DHI,DHI,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184,1978,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DHR,DHR,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1998-11-18,313616,1969,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
